,Unnamed: 0,FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class,Year,Month,Day,BoosterCategory
0,0,1,04/06/2010,Falcon 9,6104.959412,LEO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0003,-80.577366,28.5618571,0,2010,6,4,v1.0
1,1,2,22/05/2012,Falcon 9,525,LEO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0005,-80.577366,28.5618571,0,2012,5,22,v1.0
2,2,3,01/03/2013,Falcon 9,677,ISS,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0007,-80.577366,28.5618571,0,2013,3,1,v1.0
3,3,4,29/09/2013,Falcon 9,500,PO,VAFB SLC 4E,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1003,-120.610829,34.632093,0,2013,9,29,v1.1
4,4,5,03/12/2013,Falcon 9,3170,GTO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1004,-80.577366,28.5618571,0,2013,12,3,v1.1
5,5,6,06/01/2014,Falcon 9,3325,GTO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1005,-80.577366,28.5618571,0,2014,1,6,v1.1
6,6,7,18/04/2014,Falcon 9,2296,ISS,CCAFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1006,-80.577366,28.5618571,1,2014,4,18,v1.1
7,7,8,14/07/2014,Falcon 9,1316,LEO,CCAFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1007,-80.577366,28.5618571,1,2014,7,14,v1.1
8,8,9,05/08/2014,Falcon 9,4535,GTO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1008,-80.577366,28.5618571,0,2014,8,5,v1.1
9,9,10,07/09/2014,Falcon 9,4428,GTO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1011,-80.577366,28.5618571,0,2014,9,7,v1.1
10,10,11,21/09/2014,Falcon 9,2216,ISS,CCAFS SLC 40,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1010,-80.577366,28.5618571,0,2014,9,21,v1.1
11,11,12,10/01/2015,Falcon 9,2395,ISS,CCAFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571,0,2015,1,10,v1.1
12,12,13,11/02/2015,Falcon 9,570,ES-L1,CCAFS SLC 40,True Ocean,1,TRUE,FALSE,TRUE,,1,0,B1013,-80.577366,28.5618571,1,2015,2,11,v1.1
13,13,14,14/04/2015,Falcon 9,1898,ISS,CCAFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571,0,2015,4,14,v1.1
14,14,15,27/04/2015,Falcon 9,4707,GTO,CCAFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1016,-80.577366,28.5618571,0,2015,4,27,v1.1
15,15,16,28/06/2015,Falcon 9,2477,ISS,CCAFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571,0,2015,6,28,v1.1
